,lat,lon,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
233,41.56864528265052,-93.644960571261,,226,133000.0,1,3,28,55,139
234,41.60013333829146,-93.67442717982448,,302,132666.66666666666,0,2,17,66,217
235,41.59874174333766,-90.61779872710184,,157,132333.33333333334,0,10,25,32,90
236,41.39196117376577,-91.08808896980179,,111,132333.33333333334,4,7,28,27,45
237,42.48407174139862,-92.46532242663768,,138,132000.0,0,15,12,21,90
238,40.82587933137769,-91.14136408069092,,233,131666.66666666666,0,7,16,49,161
239,41.45368974396527,-91.03013979265636,,259,131666.66666666666,0,2,27,72,158
240,41.582761977369856,-93.80913252616602,,265,130333.33333333333,0,3,21,50,191
241,42.00506008696305,-91.70786527355548,,189,130333.33333333333,0,7,26,43,113
242,41.6077145466297,-93.60052912210047,,189,130000.0,3,2,29,52,103
243,41.55540557314466,-93.62579420698346,,242,130000.0,0,4,23,69,146
244,41.91606969265419,-91.42307647867666,,266,130000.0,0,2,24,24,216
245,42.0229523001325,-93.67871594747487,,219,129666.66666666667,0,9,11,24,175
246,41.53825980102722,-90.59613105353844,,221,129666.66666666667,0,4,28,62,127
247,41.97836042277783,-91.6742695854296,,270,129333.33333333333,2,2,13,42,211
248,42.02273346513079,-93.65561141443845,,260,129333.33333333333,0,4,18,43,195
249,42.0083530503572,-93.63930338269748,,238,129333.33333333333,0,7,13,39,179
250,41.62214394544069,-93.69773857992078,,202,129333.33333333333,0,5,29,37,131
251,41.64762506500988,-93.77242180476642,,304,129333.33333333333,0,0,21,41,242
252,41.574510705219794,-90.56962530813257,,264,128666.66666666667,2,2,14,51,195
253,41.653455922967666,-91.54041198321582,,278,128666.66666666667,0,4,13,56,205
254,41.59518019654627,-93.62153537567865,,249,128333.33333333333,0,8,6,39,196
255,42.017068227926906,-91.57912239992679,,123,128333.33333333333,2,6,35,16,64
256,41.62767245256545,-93.56121445963079,,214,128000.0,0,5,25,63,121
257,42.467357209276614,-92.32089949048228,,282,128000.0,0,3,15,59,205
258,41.7435955615167,-93.78511394380833,,120,127333.33333333333,0,9,34,12,65
259,41.65665261601566,-93.54481060035937,,64,127333.33333333333,0,21,6,5,32
260,41.5384992878802,-90.52256450324786,,242,127333.33333333333,0,2,28,53,159
261,41.600382662538834,-93.60886728271956,,271,127000.0,0,1,24,59,187
262,41.66078303935383,-93.49609005334294,,277,127000.0,0,4,12,38,223
263,41.55908393359474,-93.78826581791029,,301,127000.0,0,0,20,72,209
264,43.1211040899942,-92.73867632218713,,171,127000.0,4,1,30,26,110
265,41.57487066987198,-90.5310449767936,,281,127000.0,0,0,25,86,170
266,41.98380627809609,-91.659825888312,,250,126666.66666666667,0,3,22,50,175
267,41.538042713878,-93.59682589010323,,213,126333.33333333333,0,5,24,64,120
268,41.633011003770925,-93.69778335996352,,192,126000.0,0,11,8,51,122
269,41.59559347764329,-93.61725872645727,,199,125666.66666666667,0,5,27,59,108
270,41.604057958620075,-93.64265923090497,,200,125333.33333333333,0,4,30,54,112
271,41.5944566195309,-93.59836577828081,,292,125333.33333333333,0,2,14,68,208
272,41.66982251581372,-91.56818276524841,,322,125333.33333333333,0,1,10,45,266
273,41.62589046944784,-93.60054536770147,,201,125000.0,0,5,26,54,116
274,41.55562109839599,-90.5770297584,,245,124333.33333333333,0,4,18,43,180
275,42.01628364781001,-93.63227384663345,,221,124333.33333333333,0,4,24,33,160
276,41.54554018147919,-90.57232430111665,,240,124000.0,0,4,19,67,150
277,41.68018286950414,-93.77482089820903,,244,123333.33333333333,0,3,21,35,185
278,41.9636761882245,-92.08533051427553,,98,123333.33333333333,4,10,14,15,55
279,41.67311671179749,-93.4803963421329,,158,123000.0,5,6,8,47,92
280,41.09497839528245,-92.51324478162354,,85,123000.0,8,6,12,12,47
281,41.5382138540336,-90.61314771764803,,179,122666.66666666667,1,7,18,46,107
282,41.651303090795324,-93.69770743447135,,210,122666.66666666667,0,7,15,43,145
283,41.61488776979192,-93.814317011137,,197,122333.33333333333,0,7,18,46,126
284,41.5553307856548,-93.59875029640806,,223,122333.33333333333,0,4,22,92,105
285,42.48383708402793,-92.32804494502793,,215,122000.0,3,1,20,50,141
286,41.57803874389141,-93.59688417738452,,221,121666.66666666667,0,4,22,78,117
287,41.7005370377864,-91.60838463552562,,234,121333.33333333333,0,7,8,38,181
288,41.59359511336675,-93.70355956523332,,180,121333.33333333333,0,6,25,46,103
289,41.627730498527846,-93.5901620441,,180,121333.33333333333,0,8,18,30,124
